a,une
dozen,douzaine
draft,brouillon
drag,glisser
drama,drame
dramatic,spectaculaire
dramatically,dramatiquement
draw,dessiner
drawing,dessin
dream,rever
dress,robe
drink,boire
drive,conduire
driver,conducteur
drop,tomber
drug,medicament
dry,secher
duck,canard
due,du
during,pendant
dust,poussiere
duty,devoir
each,chaque
eager,desireux
ear,oreille
earn,gagner
earnings,gains
earth,terre
ease,faciliter
easily,facilement
east,est
eastern,est
easy,facile
eat,manger
economic,economique
economics,economie
economist,economiste
economy,economie
edge,bord
edition,edition
editor,editeur
educate,eduquer
education,education
educational,educatif
educator,educateur
effect,effet
effective,efficace
effectively,effectivement
efficiency,efficacite
efficient,efficace
effort,effort
egg,oeuf
eight,huit
either,soit
elderly,age
elect,elire
election,election
electric,electrique
electricity,electricite
electronic,electronique
element,element
elementary,elementaire
eliminate,eliminer
elite,elite
else,autre
embrace,embrasser
emerge,emerger
emergency,urgence
emission,emission
emotion,emotion
emotional,emotif
emphasis,accent
emphasize,souligner
employ,employer
employee,employe
employer,employeur
employment,emploi
empty,vide
enable,permettre
encounter,rencontrer
encourage,encourager
end,finir
enemy,ennemi
energy,energie
engage,engager
engine,moteur
engineer,ingenieur
engineering,ingenierie
english,anglais
enhance,ameliorer
enormous,enorme
enough,assez
ensure,assurer
enter,entrer
enterprise,entreprise
entertainment,divertissement
entire,tout
entirely,entierement
entrance,entree
entry,entree
environment,environnement
environmental,environnemental
episode,episode
equal,egal
equally,egalement
equate,assimiler
equipment,equipement
era,ere
error,erreur
escape,echapper
especially,surtout
essay,essai
essential,indispensable
essentially,essentiellement
establish,etablir
establishment,etablissement
estate,domaine
estimate,estimation
etc,etc
ethics,ethique
ethnic,ethnique
european,europeen
evaluate,evaluer
evaluation,evaluation
even,meme
evening,soiree
eventually,finalement
ever,deja
every,tous
everything,tout
everywhere,partout
evidence,preuve
evolution,evolution
evolve,evoluer
exact,exact
exactly,exactement
examination,examen
examine,examiner
example,exemple
exceed,depasser
excellent,excellent
except,sauf
exception,exception
exchange,echanger
excite,exciter
exciting,passionnant
executive,executif
exercise,exercer
exhibit,exposition
exhibition,exposition
exist,exister
existence,existence
existing,existant
expand,developper
expansion,expansion
expect,attendre
expectation,attente
expense,frais
expensive,cher
experience,vivre
experiment,experience
expert,expert
explain,explique
explanation,explication
explode,exploser
explore,explorer
explosion,explosion
expose,exposer
exposure,exposition
express,express
expression,expression
extension,extension
extensive,extensif
external,externe
extra,supplementaire
extraordinary,extraordinaire
extreme,extreme
extremely,extremement
eye,oeil
face,visage
facility,etablissement
fact,fait
factor,facteur
factory,usine
fade,disparaitre
fail,echouer
failure,echec
fair,equitable
fairly,equitablement
faith,foi
fall,tomber
familiar,familier
family,famille
famous,celebre
fan,ventilateur
fantasy,fantaisie
far,loin
farm,cultiver
farmer,agriculteur
fashion,mode
fast,vite
fat,gros
fate,sort
father,pere
favor,favoriser
favorite,favori
fear,peur
feature,caracteristique
federal,federal
fee,frais
feed,alimentation
feel,ressentir
feeling,sentiment
feet,pieds
fellow,compagnon
female,femelle
fence,cloture
few,quelque
fewer,moins
fiber,fibre
fiction,fiction
field,champ
fifteen,quinze
fifth,cinquieme
fifty,cinquante
fig,figure
fight,lutte
fighter,combattant
fighting,combat
figure,chiffre
file,deposer
fill,remplir
film,film
final,final
finally,finalement
financial,financier
find,trouve
finding,decouverte
fine,amende
finger,doigt
finish,terminer
fire,feu
firm,solidifier
first,premier
fish,poisson
fit,ajuster
fitness,aptitude
five,cinq
fix,reparer
flag,drapeau
flame,flamme
flat,appartement
flavor,saveur
flee,fuir
flesh,chair
float,flotter
floor,sol
flow,couler
flower,fleur
fly,mouche
folk,populaire
follow,suivre
following,suivant
food,nourriture
foot,pied
football,football
for,pour
force,obliger
foreign,etranger
forest,foret
forget,oubliez
form,former
formal,formel
formation,formation
former,ancien
formula,formule
fortune,fortune
forward,effronte
found,trouve
foundation,fondation
founder,fondateur
four,quatre
fourth,quatrieme
fraction,fraction
frame,cadre
framework,cadre
free,libre
freedom,liberte
freeze,geler
french,francais
frequent,frequent
frequently,souvent
fresh,frais
friend,ami
friendly,amical
friendship,amitie
from,de
fruit,fruit
frustration,frustration
fuel,carburant
full,complet
fully,pleinement
fun,amusant
function,fonction
fund,fonds
fundamental,fondamental
funeral,funerailles
funny,drole
future,futur
gain,gain
galaxy,galaxie
gallery,galerie
game,jeu
gang,gang
gap,ecart
garage,garage
garden,jardin
garlic,ail
gas,gaz
gate,portail
gather,rassembler
gave,donne
gay,homosexuel
gaze,regard
gear,equipement
gender,genre
gene,gene
general,general
generally,generalement
generate,produire
generation,generation
genetic,genetique
gentle,doux
gentleman,gentleman
gently,doucement
german,allemand
gesture,geste
get,avoir
ghost,fantome
giant,geant
gift,cadeau
gifted,doue
girl,fille
girlfriend,copine
give,donner
global,global
glove,gant
go,aller
goal,but
god,dieu
gold,or
golden,dore
gone,disparu
good,bon
got,eu
govern,gouverne
government,gouvernement
governor,gouverneur
grab,attraper
grade,classe
gradually,progressivement
graduate,diplome
grain,grain
grand,grandiose
grant,accorder
grass,herbe
gray,gris
great,super
green,vert
grocery,epicerie
ground,sol
group,grouper
grow,grandir
growing,croissance
growth,croissance
guarantee,garantie
guard,gardien
guess,deviner
guest,invite
guide,guider
guilty,coupable
guy,mec
habit,habitude
habitat,habitat
had,avais
hair,cheveu
half,demi
hall,salle
hand,main
handful,poignee
handle,manipuler
hang,pendre
happen,arriver
happy,heureux
hard,dur
has,a
hat,chapeau
hate,detester
have,ont
he,il
head,diriger
health,sante
healthy,sain
hear,ecouter
heard,entendu
hearing,audience
heart,coeur
heat,chauffer
heaven,paradis
heavily,fortement
heavy,lourd
heel,talon
held,tenu
helicopter,helicoptere
hello,bonjour
help,aider
helpful,utile
her,sa
here,ici
heritage,patrimoine
hero,heros
herself,se
hey,hey
hi,salut
hide,cacher
high,haute
highlight,surligner
highly,tres
highway,autoroute
hill,colline
him,lui
hip,hanche
hire,louer
historian,historien
historic,historique
historical,historique
hit,frappe
hold,prise
hole,trou
holiday,vacance
holy,saint
home,domicile
honest,honnete
honor,honneur
hope,esperer
horizon,horizon
horror,horreur
horse,cheval
hospital,hopital
host,hote
hot,chaud
hotel,hotel
hour,heure
house,loger
household,menage
housing,logement
how,comment
however,toutefois
huge,enorme
human,humain
humor,humour
hundred,cent
hungry,faim
hunt,chasser
hunter,chasseur
hunting,chasse
hurt,blesser
husband,mari
hypothesis,hypothese
i,je
idea,idee
ideal,ideal
identification,identification
identify,identifier
identity,identite
if,si
ignore,ignorer
ill,malade
illegal,illegal
illness,maladie
illustrate,illustrer
image,image
imagination,imagination
imagine,imaginer
immediate,immediat
immediately,immediatement
immigrant,immigrant
immigration,immigration
impact,impacter
implication,implication
imply,impliquer
importance,importance
important,important
impose,imposer
impossible,impossible
impress,impressionner
impression,impression
impressive,impressionnant
improve,ameliorer
improvement,amelioration
in,dans
incentive,motivation
inch,pouce
incident,incident
include,comprendre
including,comprenant
incorporate,integrer
increase,augmenter
increased,augmente
incredible,incroyable
independence,independance
independent,independant
index,indice
indian,indien
indicate,indiquer
indication,indication
individual,individuel
industrial,industriel
industry,industrie
infant,bebe
infection,infection
inflation,inflation
influence,influence
inform,informer
information,informations
ingredient,ingredient
initial,initiale
initially,initialement
initiative,initiative
injury,blessure
inner,interieur
innocent,innocent
inquiry,demande
insect,insecte
insight,apercu
insist,insister
inspire,inspirer
install,installer
instance,exemple
instant,instant
institution,institution
institutional,institutionnel
instruction,instruction
instructor,instructeur
instrument,instrument
insurance,assurance
intellectual,intellectuel
intelligence,intelligence
intense,intense
intensity,intensite
intention,intention
interaction,interaction
interested,interesse
interesting,interessant
internal,interne
international,international
interpret,interpreter
interpretation,interpretation
intervention,intervention
interview,entretien
into,dans
introduce,presenter
introduction,introduction
invasion,invasion
invent,inventer
invest,investir
investigate,enqueter
investigation,enquete
investigator,enqueteur
investment,investissement
investor,investisseur
invite,inviter
involve,impliquer
involved,implique
involvement,participation
iraqi,irakien
irish,irlandais
is,est
islamic,islamique
island,ile
israeli,israelien
issue,probleme
it,ce
italian,italien
item,objet
its,son
jacket,veste
jail,prison
japanese,japonais
jet,jet
jew,juif
jewish,juif
job,travail
join,rejoindre
joint,decouper
joke,plaisanter
journal,journal
journalist,journaliste
journey,periple
joy,joie
judge,juge
judgment,jugement
juice,jus
jump,saut
junior,junior
jury,jury
just,seulement
justice,justice
justify,justifier
keep,garder
kept,conserve
key,cle
kick,coup
kid,enfant
kill,tuer
killer,tueur
killing,meurtre
kind,type
king,roi
kiss,embrasser
kitchen,cuisine
knife,couteau
knock,frappe
know,savoir
knowledge,connaissance
lab,laboratoire
label,etiqueter
laboratory,laboratoire
lady,dame
lake,lac
land,terre
landscape,paysage
language,langue
lap,genoux
large,grand
last,dernier
latin,latin
latter,dernier
laugh,rire
launch,lancement
law,loi
lawn,pelouse
lawsuit,proces
lawyer,avocat
lay,allonger
layer,couche
lead,mener
leader,leader
leadership,direction
leading,premier
leaf,feuille
league,ligue
lean,maigre
learn,apprendre
learning,apprentissage
least,moins
leather,cuir
leave,laisser
led,led
leg,jambe
legacy,heritage
legal,legal
legend,legende
legislation,legislation
legitimate,legitime
lemon,citron
length,longueur
less,moins
lesson,cours
let,laisser
letter,lettre
level,niveau
liberal,liberal
license,licence
lie,mentir
lift,ascenseur
light,leger
like,comme
likely,probable
limit,limite
limitation,limitation
limited,limite
line,ligne
link,relier
lip,levre
liquid,liquide
list,liste
listen,ecoutez
literary,litteraire
literature,litterature
little,peu
live,habitent
living,vie
load,charge
loan,preter
local,local
locate,localiser
location,emplacement
log,journal
lone,seul
long,longue
look,voir
loose,lache
lose,perdre
loss,perte
lost,perdu
lot,parcelle
lots,beaucoup
loud,fort
love,amour
lovely,beau
lover,amoureux
low,meugler
lower,inferieur
luck,chance
lucky,chanceux
lunch,dejeuner
lung,poumon
machine,machine
mad,fou
made,fabrique
magazine,magazine
magnet,aimant
mail,courrier
main,principale
mainly,surtout
maintain,maintenir
maintenance,maintenance
major,majeur
majority,majorite
make,fabriquer
maker,fabricant
male,masculin
man,homme
manager,directeur
manner,maniere
manufacturer,fabricant
manufacturing,fabrication
map,carte
margin,marge
mark,marque
market,marche
marketing,commercialisation
marriage,mariage
married,marie
marry,marier
mask,masque
mass,masse
massive,massif
master,maitre
match,rencontre
material,materiel
math,math
matter,question
may,peut
mayor,maire
me,moi
meal,repas
mean,moyenne
meaning,sens
meant,cense
measure,mesure
meat,viande
mechanism,mecanisme
media,medias
medical,medical
medicine,medicament
medium,moyen
meet,rencontrer
meeting,rencontre
melody,melodie
member,membre
membership,adhesion
memory,memoire
men,hommes
mental,mental
mention,mention
menu,menu
mere,simple
merely,seulement
mess,desordre
metal,metal
meter,metre
method,methode
mexican,mexicain
middle,milieu
might,force
mile,mile
military,militaire
million,million
mind,derange
mine,mien
minister,ministre
minor,mineur
minority,minorite
minute,minute
miracle,miracle
mirror,miroir
miss,mademoiselle
missile,missile
mission,mission
mistake,erreur
mix,melanger
mixture,melange
mode,mode
model,maquette
moderate,moderer
modern,moderne
modest,modeste
molecule,molecule
mom,maman
moment,moment
monitor,surveiller
month,mois
mood,humeur
moon,lune
moral,moral
more,suite
morning,matin
mortgage,hypotheque
most,plus
mostly,principalement
mother,mere
motion,mouvement
motivation,motivation
motor,moteur
mount,monter
mountain,montagne
mouse,souris
mouth,bouche
move,mouvement
movement,mouvement
movie,film
mr,monsieur
mrs,mme
ms,mme
much,beaucoup
multiple,plusieurs
multiply,multiplier
murder,meurtre
muscle,muscle
museum,musee
music,musique
musical,musical
musician,musicien
muslim,musulman
must,doit
mutual,mutuel
my,ma
mystery,mystere
myth,mythe
naked,nu
name,nom
narrative,recit
narrow,etroit
nation,nation
national,nationale
natural,naturel
naturally,naturellement
nearby,proche
nearly,presque
necessarily,necessairement
necessary,necessaire
neck,cou
negative,negatif
negotiate,negocier
negotiation,negociation
neighbor,voisin
neighborhood,quartier
neither,ni
nerve,nerf
nervous,nerveux
net,rapporter
network,reseau
never,jamais
nevertheless,neanmoins
new,nouveau
newly,nouvellement
news,nouvelles
next,suivant
nice,joli
night,nuit
nine,neuf
no,non
nobody,personne
nod,hochement
noise,bruit
nomination,nomination
none,rien
nonetheless,neanmoins
nor,ni
normal,ordinaire
normally,normalement
north,nord
northern,nord
nose,nez
note,remarque
nothing,rien
notice,avis
notion,notion
noun,nom
novel,roman
now,maintenant
nuclear,nucleaire
number,numero
numeral,numeral
numerous,nombreux
nurse,infirmiere
nut,noix
object,objet
objective,objectif
obligation,obligation
observation,observation
observe,observer
observer,observateur
obtain,obtenir
obvious,evident
obviously,evidemment
occasion,occasion
occasionally,parfois
occupation,occupation
occupy,occuper
ocean,ocean
odd,impair
odds,chances
of,de
off,desactive
offense,infraction
offensive,offensive
offer,offre
office,bureau
officer,officier
official,officiel
often,souvent
oh,oh
oil,huile
old,vieille
olympic,olympique
on,au
one,une
onion,oignon
only,seul
onto,sur
open,ouvert
opening,ouverture
operate,fonctionner
operation,operation
operator,operateur
opinion,avis
opponent,adversaire
opportunity,opportunite
opposite,contraire
opposition,opposition
option,option
or,ou
orange,orange
order,ordre
ordinary,ordinaire
organ,organe
organic,biologique
organization,organisation
organize,organiser
orientation,orientation
origin,origine
original,original
originally,initialement
other,autre
others,autres
otherwise,autrement
ought,devrait
our,notre
out,dehors
outcome,resultat
oven,four
overall,globalement
overcome,surmonter
overlook,negliger
owe,devoir
own,posseder
owner,proprietaire
oxygen,oxygene
pace,rythme
pack,pack
package,emballer
page,page
painful,douloureux
paint,peinture
painter,peintre
pair,paire
pale,pale
palestinian,palestinien
palm,paume
panel,panneau
pant,haleter
paper,papier
paragraph,paragraphe
parent,parent
parking,parking
part,partie
participant,participant
participate,participer
participation,participation
particular,particulier
particularly,particulierement
partly,partiellement
partner,partenaire
partnership,partenariat
party,fete
pass,passe
passage,passage
passenger,passager
past,passe
patch,piece
path,chemin
patient,patient
pattern,modele
pause,pause
pay,payer
payment,paiement
pc,ordinateur
peace,paix
peak,pic
peer,pair
penalty,peine
people,personnes
pepper,poivre
per,par
perceive,apercevoir
percentage,pourcentage
perfect,parfait
perform,effectuer
performance,performance
period,periode
permanent,permanent
permission,autorisation
permit,permis
person,personne
personal,personnel
personality,personnalite
personally,personnellement
personnel,personnel
perspective,perspective
persuade,persuader
pet,animaux
phase,phase
phenomenon,phenomene
philosophy,philosophie
phone,telephone
photo,photo
photograph,photographier
photographer,photographe
phrase,phrase
physical,physique
physically,physiquement
physician,medecin
piano,piano
pick,prendre
picture,photo
pie,tarte
piece,piece
pile,pile
pilot,pilote
pine,pin
pink,rose
pipe,tuyau
pitch,terrain
place,endroit
plain,plaine
plan,plan
plane,avion
planet,planete
planning,planification
plant,plante
plastic,plastique
plate,assiette
play,jouer
player,joueur
pleasure,plaisir
plenty,beaucoup
plot,terrain
plural,pluriel
plus,plus
pm,pm
pocket,poche
poem,poeme
poet,poete
poetry,poesie
point,point
pole,pole
police,police
policy,politique
political,politique
politically,politiquement
politician,politicien
politics,politique
poll,sondage
pool,bassin
poor,pauvres
pop,pop
popular,populaire
populate,peupler
population,population
porch,porche
port,port
portion,portion
portrait,portrait
portray,representer
pose,pose
position,position
positive,positif
possess,posseder
possibility,possibilite
possible,possible
post,publier
pot,pot
potato,patate
potential,potentiel
potentially,potentiellement
pound,broyer
pour,verser
powder,poudre
power,puissance
powerful,puissant
practical,pratique
pray,prier
prayer,priere
precisely,precisement
predict,predire
prefer,preferer
preference,preference
pregnancy,grossesse
pregnant,enceinte
preparation,preparation
prepare,preparer
prescription,prescription
presence,presence
present,present
presentation,presentation
preserve,preserver
president,president
presidential,presidentiel
press,presse
pressure,pression
pretty,joli
prevent,empecher
previous,precedent
previously,precedemment
pride,orgueil
priest,pretre
primarily,principalement
primary,primaire
prime,premier
principal,principal
principle,principe
print,imprimer
prior,avant
priority,priorite
prison,prison
prisoner,prisonnier
privacy,intimite
private,prive
probable,probable
probably,probablement
problem,probleme
procedure,procedure
proceed,proceder
process,traiter
produce,produire
producer,producteur
product,produit
production,production
profession,metier
professional,professionnel
professor,professeur
profile,profil
profit,profit
program,programme
project,projet
prominent,important
promise,promesse
promote,promouvoir
prompt,rapide
proof,preuve
proper,correct
properly,correctement
property,biens
proportion,proportion
proposal,proposition
propose,proposer
proposed,propose
prosecutor,procureur
prospect,perspective
protect,proteger
protection,protection
protein,proteine
protest,manifestation
proud,fier
prove,prouver
provide,apporter
provider,fournisseur
province,province
provision,disposition
psychological,psychologique
psychologist,psychologue
psychology,psychologie
public,publique
publication,publication
publicly,publiquement
publish,publier
publisher,editeur
pull,tirer
punishment,chatiment
purchase,achat
pure,pur
purpose,but
pursue,poursuivre
push,pousser
put,mettre
qualify,qualifier
quality,qualite
quart,litre
quarter,trimestre
quarterback,stratege
question,question
quick,rapide
quickly,vite
quiet,calmer
quietly,tranquillement
quit,quitter
quite,assez
quote,citation
quotient,quotient
race,course
racial,racial
radical,radical
radio,radio
rail,rail
rain,pluie
raise,augmenter
ran,couru
range,gamme
rank,rang
rapid,rapide
rapidly,rapidement
rare,rare
rarely,rarement
rate,taux
rather,plutot
rating,evaluation
ratio,rapport
raw,cru
reach,atteindre
react,reagir
reaction,reaction
read,lire
reader,lecteur
ready,pret
real,reel
reality,realite
really,vraiment
reason,raison
